Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
419348974,18FEC1EE,true,Rx,0,8,00,01,1E,04,B9,0B,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
419358446,18FEE6EE,true,Rx,0,8,5C,1B,10,05,6B,27,7D,7D,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
419348974,18FEC1EE,true,Rx,0,8,00,01,1E,04,B9,0B,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
419358446,18FEE6EE,true,Rx,0,8,5C,1B,10,05,6B,27,7D,7D,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
419348974,18FEC1EE,true,Rx,0,8,00,01,1E,04,B9,0B,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
419358446,18FEE6EE,true,Rx,0,8,5C,1B,10,05,6B,27,7D,7D,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
419348974,18FEC1EE,true,Rx,0,8,00,01,1E,04,B9,0B,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
419358446,18FEE6EE,true,Rx,0,8,64,1B,10,05,6B,27,7D,7D,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
419348974,18FEC1EE,true,Rx,0,8,00,01,1E,04,B9,0B,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
419358446,18FEE6EE,true,Rx,0,8,64,1B,10,05,6B,27,7D,7D,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
419348974,18FEC1EE,true,Rx,0,8,00,01,1E,04,B9,0B,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
419358446,18FEE6EE,true,Rx,0,8,6C,1B,10,05,6B,27,7D,7D,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,00,3F,FF,C0,00,00,00,00,
